"CIG","COD_CPV","DESCRIZIONE_CPV","OGGETTO_LOTTO"
"83016935C8","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","FORNITURA DI N. 5 CARRELLI DI EMERGENZA COMPLETI DI ACCESSORI, DEFIBRILLATORE, ASPIRATORE E RELATIVO SERVIZIO DI ASSISTENZA TECNICA TRIENNALE FULL-RISK POST GARANZIA DA DESTINARE PER PERCORSI COVID-19 PRESSO I PP.OO. 'SAN MARCO' DI GROTTAGLIE E 'SS.ANNUNZIATA' DI TARANTO. "
"8182871EC1","71421000-5","SERVIZI DI ARCHITETTURA DEI GIARDINI","SERVIZI DI INGEGNERIA PER LA REALIZZAZIONE DI INFRASTRUTTURE VERDI"
"8256770626","33150000-6","DISPOSITIVI PER RADIOTERAPIA, MECCANOTERAPIA, ELETTROTERAPIA E TERAPIA FISICA","PROCEDURA APERTA PER L'AFFIDAMENTO DEL LA FONRITURA DI CONTROLLO PROTEXIMETRICO, PULIZIA E SANIFICAZIONE DEI DISPOSITIVI DI PROTEZIONE INDIVIDUALE "
"82923843C1","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","PROCEDURA NEGOZIATA TELEMATICA PER L'AFFIDAMENTO DELLA FORNITURA TRIENNALE IN SERVICE DI UN SISTEMA ANALITICO PER TEST RAPIDI MICROBIOLOGICI COMPRENSIVO DI REAGENTI E MATERIALE DI CONSUMO DA DESTINARE ALLA SC DI PATOLOGIA CLINICA DEL POC DELLA SO SS. ANNUNZIATA DELLA ASL DI TARANTO"
"82300124C0","45262640-9","LAVORI DI MIGLIORAMENTO AMBIENTALE","BONIFICA, MESSA IN SICUREZZA PERMANENTE E RIPRISTINO AMBIENTALE DELLA EX DISCARICA COMUNALE IN CONTRADA MACCARONE - SANT"
"8223682D0F","77311000-3","SERVIZI DI MANUTENZIONE DI GIARDINI ORNAMENTALI O RICREATIVI","AFFIDAMENTO TRIENNALE DEL SERVIZIO DI MANUTENZIONE E GESTIONE DEL VERDE PUBBLICO DELLA CITTÀ DI BITONTO E DELLE FRAZIONI DI MARIOTTO E PALOMBAIO A RIDOTTO IMPATTO AMBIENTALE (CONFORME AL D.M. AMBIENTE TUTELA TERRITORIO E MARE 13/12/2013 PUBBLICATO IN G.U.R.I. N. 13 DEL 17/01/2014)'"
"8282546D2B","45442100-8","LAVORI DI TINTEGGIATURA","ESECUZIONE DI LAVORI DI PITTURAZIONE, UNITAMENTE AI E MODESTI CONNESSI RIPRISTINI DI NATURA EDILIZIA, NECESSARI PRESSO GLI IMMOBILI DI COMPETENZA DELLA ASL TARANTO"
"8281521F4F","77314000-4","SERVIZI DI MANUTENZIONE TERRENI","LAVORI DI STRAORDINARIA MANUTENZIONE DI TERRENI, BROWNFIELD ED AREE VERDI NELLE DISPONIBILITÀ AZIENDALI"
"82954451C6","50413200-5","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI IMPIANTI ANTINCENDIO","LAVORI DI MANUTENZIONE DEI PRESIDI E DEGLI IMPIANTI ANTINCNDIO AD USO DEGLI IMMOBILI COMUNALI PER L'ANNO 2020"
"8279651825","38432000-2","APPARECCHI PER ANALISI","FORNITURA CHIAVI IN MANO DI ARREDI E ATTREZZATURE ALLESTIMENTO NUOVO LABORATORIO DI BIOLOGIA BIOMOLECOLARE"
"8263969AF2","39150000-8","ARREDI ED ATTREZZATURE VARIE","PROCEDURA NEGOZIATA PER L'ACQUISTO DI ARREDI NECESSARI PER L'ALLESTIMENTO DEL PTA DI MASSAFRA"
"8294262188","33690000-3","MEDICINALI VARI","PROCEDURA NEGOZIATA TELEMATICA AI SENSI DELL'ART. 63 COMMA 2, LETT. B) PUNTI NN. 2) E 3) DEL D.LGS. 50/2016 E S.M.I. PER L'AFFIDAMENTO DELLA FORNITURA DEL FARMACO LAMZEDE "
"82994499F8","90921000-9","SERVIZI DI DISINFEZIONE E DISINFESTAZIONE","SERVIZIO DI DISINFEZIONE DA RENDERE IN FAVORE DELL'ASL BARI PER EMERGENZA COVID 19"
"8303485C94","79620000-6","SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO","ACQUISIZIONE PERSONALE OSS (OPERATORE SOCIO-SANITARIO) TRAMITE AGENZIA DI SOMMINISTRAZIONE MEDIANTE PROCEDURA NEGOZIATA EX ART. 36, COMMA 2, LETT. B) E ART. 58 DEL D.LGS. 50/2016. INDIZIONE GARA. EMERGENZA COVID 19 "
"8291418695","33191000-5","APPARECCHI PER LA STERILIZZAZIONE, LA DISINFEZIONE E L'IGIENE","PROCEDURA NEGOZIATA AI SENSI DELL`ART. 36, COMMA 2, LETTERA B) DEL D.LGS. 50/2016, PER LA FORNITURA DI N. 1 LAVAENDOSCOPI, CON RELATIVO MATERIALE DI CONSUMO, E SERVIZIO DI ASSISTENZA TECNICA FULL RISK DELLA DURATA DI N. 5 ANNI DECORRENTE DALLA SCADENZA DELLA GARANZIA BIENNALE, PER L' U.O.C. DI UROLOGIA DEL P.O. DI ANDRIA"
"8274208C6F","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","PROCEDURA NEGOZIATA TELEMATICA PER L'AFFIDAMENTO DELLA FORNITURA DI MATERIALE AD USO VETERINARIO PER LE NECESSITÀ DELLA ASL TARANTO -PREVENZIONE RANDAGISMO"
"8293463E29","45450000-6","ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI","FESR 2014-2020 - RIFUNZIONALIZZAZIONE RSA SAN RAFFAELE DI LOCOROTONDO. INTERVENTI EDILI ED IMPIANTISTICI STRAORDINARI"
"8298793C9E","66510000-8","SERVIZI ASSICURATIVI","AFFIDAMENTO SERVIZIO COPERTURA ASSICURATIVA: RESPONSABILITÀ CIVILE TERZI (R.C.T.), DIPENDENTI (R.C.O.) E FABBRICATI  (R.C.F.) "
"82881269EF","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","BISTURI STERILI MONOUSO CON DISPOSITIVO DI SICUREZZA."
"8266102B27","85312400-3","SERVIZI DI ASSISTENZA SOCIALE NON PRESTATI DA ISTITUTI RESIDENZIALI","SERVIZIO DI PRONTO INTERVENTO SOCIALE (ART. 85 DEL R.R. 4/2007)"
"8288020278","39151300-8","MOBILI MODULARI","ACQUISIZIONE DI N. 650 ARMADI PER SPOGLIATOI "
"8218605F62","45215000-7","LAVORI DI COSTRUZIONE DI EDIFICI PER SERVIZI SOCIALI E SANITARI, CREMATORI E GABINETTI PUBBLICI","PROCEDURA APERTA DA ESPLETARSI IN MANIERA TELEMATICA TRAMITE PIATTAFORMA EMPULIA, PER L"
"8228508B9A","71340000-3","SERVIZI DI INGEGNERIA INTEGRATI","PROCEDURA APERTA DA ESPLETARSI IN MANIERA TELEMATICA TRAMITE PIATTAFORMA EMPULIA, PER L"
"8240930691","45259000-7","RIPARAZIONE E MANUTENZIONE DI IMPIANTI","INTERVENTI TECNICI VOLTI ALLA RIDUZIONE DEL RISCHIO BIOLOGICO DA CONTAMINAZIONE DA AGENTI PATOGENI, PRESSO LE STRUTTURE DELL"
"8261182F09","66600000-6","SERVIZI DI TESORERIA","SERVIZIO DI TESORERIA"
"82541346DA","34928470-3","SEGNALETICA","ELABORAZIONE GRAFICA E FORNITURA E POSA IN OPERA DI CARTELLONISTICA DI INDICAZIONE, INFORMAZIONE, COMUNICAZIONE, E WAYFINDING"
"827474251D","30192000-1","MATERIALE PER UFFICIO","PROCEDURA TELEMATICA (PIATTAFORMA EMPULIA), EX ART.36 COMMA 2 LETT. A) DEL D.LGS. N. 50/2016, PER L'APPALTO DELLA FORNITURA DI MATERIALE ECONOMALE VARIO (ARTICOLI IN PLASTICA) OCCORRENTE ALL'AZIENDA OSPEDALIERO - UNIVERSITARIA CONSORZIALE POLICLINICO DI BARI ED ALL'OSPEDALE PEDIATRICO GIOVANNI XXIII DI BARI"
"8227504F12","80430000-7","SERVIZI DI ISTRUZIONE UNIVERSITARIA PER ADULTI","PROCEDURA APERTA PER LA REALIZZAZIONE DI SERVIZI SPERIMENTALI E INNOVATIVI  PER STUDENTI CON DISABILITA' PER LE PROVINCE DI BARI E TARANTO "
"8265578ABC","45223822-4","COMPONENTI PREFABBRICATI","PROCEDURA NEGOZIATA ART.36, C.2 LETT. B) D.LGS 50/16 PER AFFIDAMENTO FORNITURA E POSA IN OPERA N. 7 PORTONI INDUSTRIALI PER CAPANNONE DI PROPRIETÀ ASM"
"8285337C60","24455000-8","DISINFETTANTI","DETERGENTI E DISINFETTANTI PER LA SANIFICAZIONE DI AMBIENTI"
"8287920FEE","79710000-4","SERVIZI DI SICUREZZA","AFFIDAMENTO SEMESTRALE IN URGENZA SERVIZIO DI VIGILANZA ARMATA"
"82552553EF","71330000-0","VARI SERVIZI DI INGEGNERIA","SERVIZIO DI VERIFICA DEL 'PROGETTO DI FATTIBILITÀ TECNICA ED ECONOMICA - IMPIANTO DI TRATTAMENTO E RECUPERO CARTA E CARTONE DI UGENTO (LE)'"
"8271707C8B","85140000-2","VARI SERVIZI SANITARI","SERVIZI DI SORVEGLIANZA SANITARIA DEL PERSONALE DELL'IRCCS ISTITUTO TUMORI 'GIOVANNI PAOLO II' DI BARI, COMPRENDENTI LE FUNZIONI DI MEDICO COMPETENTE E DI MEDICO AUTORIZZATO"
"8255218566","71330000-0","VARI SERVIZI DI INGEGNERIA","SERVIZIO DI VERIFICA DEL 'PROGETTO DI FATTIBILITÀ TECNICA ED ECONOMICA DELL'IMPIANTO DI TRATTAMENTO E RECUPERO DI RIFIUTI DA SPAZZAMENTO STRADALE DA UBICARSI IN STATTE (TA)'"
"8233408737","30192700-8","CANCELLERIA","PROCEDURA NEGOZIATA PER ACQUISTO DI CANCELLERIA PER LE ESIGENZE DELLE STRUTTURE DELLA ASL DI TARANTO"
"8294757A02","33696500-0","REATTIVI PER LABORATORIO","PROCEDURA NEGOZIATA TELEMATICA AVVIATA A SEGUITO DI INDAGINE DI MERCATO PER L"
"8289532236","66510000-8","SERVIZI ASSICURATIVI","COPERTURA ASSICURATIVA, RESPONSABILITÀ CIVILE TERZI (R.C.T.), DIPENDENTI (R.C.O.) E FABBRICATI (R.C.F.)"
"8287519507","33124100-6","APPARECCHI DIAGNOSTICI","FORNITURA DI UN SISTEMA ANALITICO IN SERVICE GRATUITO + FORNITURA N. 10.000 KIT PER IDENTIFICAZIONE SARS COV 2 RNA + OPZIONE DI ULTERIORI 10.000 KIT "
"8283362E8D","90524400-0","RACCOLTA, TRASPORTO E SMALTIMENTO DI RIFIUTI OSPEDALIERI","SERVIZIO DI RITIRO, TRASPORTO E SMALTIMENTO DEI RIFIUTI SANITARI PERICOLOSI A RISCHIO INFETTIVO E NON E DEI RIFIUTI SANITARI NON PERICOLOSI"
"8287902118","34134000-5","AUTOCARRI A PIATTAFORMA E A CASSONE RIBALTABILE","SERVIZIO DI NOLEGGIO SENZA CONDUCENTE DI VEICOLI PER LA RACCOLTA E TRASPORTO R.S.U."
"81956521FC","45454000-4","LAVORI DI RISTRUTTURAZIONE","LAVORI DI RICONVERSIONE DELLO OSPEDALE DI SAN PIETRO VERNOTICO (BR) IN PRESIDIO TERRITORIALE DI ASSISTENZA"
"8278809150","45211350-7","LAVORI DI COSTRUZIONE DI EDIFICI MULTIFUNZIONALI","LAVORI DI MANUTENZIONE ORDINARIA E STRAORDINARIA LOCALI CONFISCATI ALLA CRIMINALITÀ ORGANIZZATA IN VIA MARTIRI DI VIA FANI"
"826320112F","33170000-2","ANESTESIA E RIANIMAZIONE","PROCEDURA NEGOZIATA TELEMATICA PER L'AFFIDAMENTO DELLA FORNITURA IN SERVICE COMPRENSIVA DI QUOTA NOLEGGIO DI UN SISTEMA ANALITICO TROMBOELASTOMETRICO/GRAFICO PER LE NECESSITÀ DELLA S.C. ANESTESIA, RIANIMAZIONE E TERAPIA DEL DOLORE DEL PRESIDIO OSPEDALIERO CENTRALE 'SS.ANNUNZIATA' DI TARANTO"
"8268141DC9","45317300-5","LAVORI DI INSTALLAZIONE ELETTRICA DI APPARECCHI DI DISTRIBUZIONE DI ELETTRICITÀ","'LA CITTADELLA DEGLI ARTISTI' INTERVENTI PER LA REALIZZAZIONE DI SISTEMI INTELLIGENTI DI DISTRIBUZIONE DELL'ENERGIA (SMART-GRIDS)"
"8273686DAA","45223210-1","LAVORI DI COSTRUZIONE DI STRUTTURE METALLICHE","LAVORI DI REALIZZAZIONE STRUTTURA METALLICA A SOSTEGNO DEL VIDEO WALL DA INSTALLARE NELLA NUOVA PISTA DI ATLETICA LEGGERA DEL COMUNE DI MOLFETTA"
"8278001686","45259000-7","RIPARAZIONE E MANUTENZIONE DI IMPIANTI","EMERGENZA COVID - LAVORAZIONI STRAORDINARIE DI PULIZIA, BONIFICA E SANIFICAZIONE DEGLI IMPIANTI DI CONDIZIONAMENTO, VENTILAZIONE E TRATTAMENTO DELL"
"8229769C36","77310000-6","SERVIZI DI PIANTAGIONE E MANUTENZIONE DI ZONE VERDI","AEROPORTO BRINDISI – AFFIDAMENTO DEL SERVIZIO MANUTENZIONE DELLE SUPERFICI A VERDE RIGUARDANTI LA VIABILITÀ AEROPORTUALE (LAND SIDE ED AIR SIDE)  DETERMINA A CONTRARRE PER INDIZIONE PROCEDURA NEGOZIATA AD ESITO DI GARA ANDATA DESERTA "
"8239112A4D","98341120-2","SERVIZI DI PORTINERIA","SERVIZI FIDUCIARI DI PORTIERATO E ASSISTENZA AULE NELLE SEDI DELL'UNIVERSITÀ DI FOGGIA (S02_2020)"
"8249004D6F","92512000-3","SERVIZI DI ARCHIVI","SERVIZIO GESTIONE ARCHIVI"
"8262263B1C","42914000-6","IMPIANTI DI RICICLAGGIO","PROCEDURA NEGOZIATA ART.36, C.2 LETT. B) D.LGS 50/16 AFFIDAMENTO FORNITURA N. 1 SEPARATORE MAGNETICO MATERIALI NON FERROSI"
"8279022116","33172200-8","APPARECCHI PER RIANIMAZIONE","PROCEDURA NEGOZIATA, URGENTISSIMA AI SENSI DELL'ART.36 COMMA 2 LETT. B) DEL D.LGS. N.50/2016 CON SVOLGIMENTO SULLA PIATTAFORMA WWW.EMPULIA.IT, DA AGGIUDICARE NELLE MODALITA' DI CUI ALL'ART.95 C.4 (PREZZO PIU' BASSO) PER LA FORNITURA DI N.6 VENTILATORI POLMONARI OCCORRENTI ALL'U.O.C. DI ANESTESIA E RIANIMAZIONE DEL P.O. PERRINO DI BRINDISI "
"82637473C1","30192700-8","CANCELLERIA","PROCEDURA TELEMATICA ( PIATTAFORMA EMPULIA), EX ART.36 COMMA2 LETT.A ) DEL D.LGS. N. 50/2016, PER L'APPALTO DELLA FORNITURA DI MATERIALE DI CANCELLERIA VARIO, OCCORRENTE ALL'AZIENDA OSPEDALIERO - UNIVERSITARIA CONSORZZIALE POLICLINICO DI BARI ED ALL'OSPEDALE PEDIATRICO GIOVANNI XXIII DI BARI"
"8275606E19","39330000-4","ATTREZZATURE DI DISINFEZIONE","FORNITURA DI N. 44 FORNITURA DI N. 44 LAVAPAVIMENTI CON FILTRO HEPA DA DESTINARE AI REPARTI AD ALTO RISCHIO"
"82225739E3","60171000-7","NOLEGGIO DI AUTOVETTURE CON AUTISTA","SERVIZI DI NOLEGGIO VEICOLI SENZA CONDUCENTE A LUNGA DURATA"
"8237470F46","34121100-2","AUTOBUS PUBBLICI","FORNITURA DI N. 2 AUTOBUS PER L'ESERCIZIO DEL SERVIZIO DI TRASPORTO URBANO SMART GO CITY "
"82226086C6","66600000-6","SERVIZI DI TESORERIA","SERVIZIO DI TESORERIACOMUNALE QUINQUENNIO 2020/2025"
"8240203E9E","79341200-8","SERVIZI DI GESTIONE PUBBLICITARIA","PROCEDURA NEGOZIATA IN MODALITÀ TELEMATICA ESPLETATA AI SENSI DELL'ART. 36, COMMA 2, LETT. B) DEL D. LGS. N. 50/2016 PER L'AFFIDAMENTO DEL SERVIZIO DI PUBBLICAZIONE DEI BANDI, DEGLI AVVISI E DEGLI ESITI DI GARA CHE SI RENDONO NECESSARI PER L'AZIENDA NEL CORSO DEGLI ANNI 2020, 2021 E 2022"
"82649260B3","24311000-7","ELEMENTI CHIMICI; ACIDI INORGANICI E COMPOSTI","FORNITURA DI DETERGENTI E DISINFETTANTI PER LA SANIFICAZIONE DI AMBIENTI "
"82663095FB","45350000-5","IMPIANTI MECCANICI","LAVORI DI MANUTENZIONE RELATIVI ALLA FORNITURA E POSA IN OPERA DI CELLE FILTRANTI INSTALLATE NELLE U.T.A. DEGLI IMPIANTI DI CLIMATIZZAZIONE IN ESERCIZIO PRESSO IL P.O. DELLA MURGIA 'F. PERINEI'DI ALTAMURA.ANNO 2020"
"8203209E34","90511100-3","SERVIZI DI RACCOLTA DI RIFIUTI SOLIDI URBANI","SERVIZIO GESTIONE RIFIUTI ED IGIENE URBANA NEL TERRITORIO COMUNALE"
"8274477A6C","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","CLIP PER ANEURISMA IN LEGA DI TITANIO RM COMPATIBILI FINO A 3 TESLA, TEMPORANEE E PERMANENTI, DISPONIBILI CON LUNGHEZZA SUPERIORE AI 30 MM PER GROSSI ANEURISMI, MECCANISMO DI CHIUSURA BRIDGEWIRE, PROFILI SMUSSATI E ULTRASOTTILI FORNITE NON STERILI E RISTERILIZZABILI, APPLICATORE POCO INGOMBRANTE E CON DOPPIO SNODO TIPO SANO, CASSETTA DI STERILIZZAZIONE CON CODICI IDENTIFICATIVI."
"821631097F","79998000-6","SERVIZI DI ASSISTENZA PROFESSIONALE","SERVIZIO DI SUPPORTO ALLE ATTIVITÀ TECNICO AMMINISTRATIVE DELLA PROVA PRESELETTIVA DEL CONCORSO PER COLLABORATORE AMMINISTRATIVO PROFESSIONALE CATEGORIA 'D' INDETTO DALL'ASL FOGGIA "
"8274844948","33696000-5","REAGENTI E MEZZI DI CONTRASTO","LOTTO 1 -  ANTIGENI RICOMBINANTI SARS-COV-2 SPIKE S1 RBD O EQUIVALENTI  PER TEST DI STIMOLAZIONE LINFOCITARIA IN VITRO CON MITOGENI SPECIFICI"
"8265947B3E","45230000-8","LAVORI DI COSTRUZIONE DI CONDUTTURE, LINEE DI COMUNICAZIONE E LINEE ELETTRICHE, AUTOSTRADE, STRADE, CAMPI DI AVIAZIONE E FERROVIE; LAVORI DI LIVELLAMENTO","INTERVENTI PER REALIZZAZIONE ELIPORTO PRESSO LA SEDE DELLA PROTEZIONE CIVILE REGIONALE PER GESTIONE EMERGENZA COVID-19 PER LA REGIONE PUGLIA"
"8275667074","33141625-7","MATERIALE DIAGNOSTICO","FORNITURA IN SERVICE DI UN SISTEMA ANALITICO PER L'ESECUZIONE DI N. 8520 TEST PER L'ANALISI QUALITATIVA IN BIOLOGIA MOLECOLARE: PCR REAL TIME COVID-19."
"825370225C","33141625-7","MATERIALE DIAGNOSTICO","IMMUSTOCHIMICA E COLORAZIONI SPECIALI"
"8259440182","45454000-4","LAVORI DI RISTRUTTURAZIONE","LAVORI DI RIFUNZIONALIZZAZIONE DELLA FARMACIA OSPEDALIERA DEL PO SAN GIACOMO DI MONOPOLI DA DESTINARSI A FARMACIA TERRITORIALE"
"82235819B7","85311100-3","SERVIZI DI ASSISTENZA SOCIALE PER PERSONE ANZIANE","REALIZZAZIONE IN CONCESSIONE DELLA PROGETTAZIONE E COSTRUZIONE DI DUE NUOVE RESIDENZE SANITARIE ASSISTENZIALI (RSA)"
"8227965B81","39130000-2","MOBILI PER UFFICI","AFFIDAMENTO, CON LE MODALITÀ DELL'ACCORDO QUADRO, DELLA FORNITURA DI MOBILI, SEDUTE ED ARTICOLI VARI PER SODDISFARE LE ESIGENZE DEGLI UFFICI REGIONALI AI SENSI DELL'ART. 60 DEL D.LGS. 50/2016 "
"81636400D9","71340000-3","SERVIZI DI INGEGNERIA INTEGRATI","SERVIZI DI ARCHITETTURA E INGEGNERIA RELATIVI ALL'INTERVENTO DI VALORIZZAZIONE E RIQUALIFICAZIONE INTEGRATA DELLA COSTA SUD DI TORRE CANNE"
"8184284CCD","63513000-8","SERVIZI DI INFORMAZIONE TURISTICA","AVVISO PUBBLICO PER AFFIDAMENTO SERVIZIO GESTIONE INFO POINT ALLOCATO IN VIA PIAZZA NN. 27-29"
"826396794C","33690000-3","MEDICINALI VARI","PROC. NEG. TEL. ERLOTINIB CPR DOSAGGI VARI"
"82692798E6","33112000-8","ECOGRAFI, ULTRASONOGRAFI E APPARECCHI DOPPLER","PROCEDURA TELEMATICA IN URGENZA PER L'AFFIDAMENTO DELLA FORNITURA DI N.1 ECOGRAFO DI FASCIA MEDIA DA DESTINARE ALLA S.C. GINECOLOGIA E OSTETRICIA DEL P.O. OCCIDENTALE STABILIMENTO 'SAN PIO' DI CASTELLANETA PER EMERGENZA COVID -19"
"8243518E3E","45450000-6","ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI","PROGETTO CUR NUE 112 PUGLIA - REALIZZAZIONE DI UFFICI E CENTRALE OPERATIVA PER LA SEDE DI FOGGIA PRESSO AEROPORTO"
"82329827AB","63120000-6","SERVIZI DI MAGAZZINAGGIO E DEPOSITO MERCI","AEROPORTO DI BARI – PROCEDURA NEGOZIATA PER L’AFFIDAMENTO DELLA FORNITURA DI CONTAINERS PER STOCCAGGIO E CONSERVAZIONE GENERI ALIMENTARI TIPOLOGIA HC E NHC-PHARMA"
"8269901A30","33124100-6","APPARECCHI DIAGNOSTICI","PROCEDURA NEGOZIATA URGENTE PER L'ACQUISTO DI N. 4 APPARECCHIATURE DI DIAGNOSTICA RAPIDA PER COVID 19 E N. 4.000 KIT DIAGNOSTICI"
"826723849E","79620000-6","SERVIZI DI FORNITURA DI PERSONALE, COMPRESO PERSONALE TEMPORANEO","ACQUISIZIONE PERSONALE OSS (OPERATORE SOCIO-SANITARIO) TRAMITE AGENZIA DI SOMMINISTRAZIONE MEDIANTE PROCEDURA NEGOZIATA EX ART. 63, COMMA 2, LETT. C) E ART. 58 DEL D.LGS. 50/2016. EMERGENZA COVID -19"
"8228588D9E","71340000-3","SERVIZI DI INGEGNERIA INTEGRATI","AFFIDAMENTO DEI SERVIZI TECNICI DI VERIFICA VULNERABILITÀ SISMICA E PROGETTAZIONE DEFINITIVA, PROGETTO DI MIGLIORAMENTO SISMICO E RIQUALIFICAZIONE ENERGETICA E FUNZIONALE EDIFICIO SCOLASTICO DANTE ALIGHIERI."
"8264244DE1","33141625-7","MATERIALE DIAGNOSTICO","FORNITURA IN SERVICE DI UN SISTEMA ANALITICO PER L'ESECUZIONE DI N. 8520 TEST, PER L'ANALISI QUALITATIVA IN BIOLOGIA MOLECOLARE: PCR REAL TIME COVID-19."
"822501269E","31122000-7","GRUPPI ELETTROGENI","ACQUISIZIONE DI UN GRUPPO ELETTROGENO IN SOSTITUZIONE DELL'ESISTENTE UNITÀ N. 2 A SERVIZIO DEL COMPRENSORIO PARCO TECNOPOLIS E ATTIVITÀ CORRELATE"
"8214007CFF","71220000-6","SERVIZI DI PROGETTAZIONE ARCHITETTONICA","GARA TELEMATICA PER L'AFFIDAMENTO DI SERVIZI TECNICI DI INGEGNERIA ED ARCHITETTURA DI IMPORTO PARI O SUPERIORE A 40.000 EURO E INFERIORE A 100.000, AI SENSI DELL'ART. 157 COMMA 2 E ART. 36 COMMA 2 LETT B) DEL CODICE, PER LA REALIZZAZIONE DELLA NUOVA SCUOLA PRIMARIA DI BITRITTO"
"82655904A5","33192150-8","LETTI TERAPEUTICI","FORNITURA URGENTE N. 4 LETTI AREA CRITICA EMERGENZA COVID 19"
"8248054D78","33735000-1","OCCHIALI A MASCHERA","PROCEDURA NEGOZIATA, URGENTISSIMA AI SENSI DELL"
"8209973C09","45235000-3","LAVORI DI COSTRUZIONE PER AERODROMI, PISTE E SUPERFICI DI MANOVRA DI CAMPI D'AVIAZIONE","LAVORI DI REALIZZAZIONE DELLA ELISUPERFICIE NEL COMUNE DI CARPINO (FG) ."
"82237759CF","45454000-4","LAVORI DI RISTRUTTURAZIONE","FESR 2014-2020 - REALIZZAZIONE DEL P.T.A. NEL COMUNE DI GRUMO APPULA (BA) CON ADEGUAMENTO A NORME - LAVORI DI ADEGUAMENTO PER L'OTTENIMENTO DEL C.P.I. CON ADEGUAMENTO IMPIANTISTICO DELL'EDIFICIO POLIFUNZIONALE IN GRUMO APPULA (BA)"
"8263449DD3","34114121-3","AMBULANZE","FORNITURA URGENTE DI N. 2 AMBULANZE DI TIPO B EMERGENZA COVID 19"
"822967704E","55330000-2","SERVIZI DI CAFFETTERIA","SERVIZIO DI GESTIONE IN CONCESSIONE DEL BAR DEL P.O. DI MARTINA FRANCA"
"71022111ED","71220000-6","SERVIZI DI PROGETTAZIONE ARCHITETTONICA","PROGETTAZIONE DEFINITIVA ED ESECUTIVA, AL COORDINAMENTO PER LA SICUREZZA IN FASE DI PROGETTAZIONE, ALLA DIREZIONE LAVORI E AL COORDINAMENTO PER LA SICUREZZA IN FASE DI ESECUZIONE PER I LAVORI DI RIFUNZIONALIZZAZIONE E ADEGUAMENTO ALLE NORME DELLA U.O. DI MEDICINA GENERALE E DEL LABORATORIO DI ANALISI DEL P.O. DI ANDRIA (BT)"
"8206501ADA","71222000-0","SERVIZI DI PROGETTAZIONE DI IMPIANTI ALL'APERTO","PROGETTAZIONE DEFINITIVA ED ESECUTIVA, COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE E DELLE ATTIVITÀ CONNESSE ALLA REDAZIONE GEOLOGICA, PER L'INTERVENTO DI REALIZZAZIONE DI VIA AVEZZANO CON REGIMENTAZIONE DELLE RELATIVE ACQUE PLUVIALI."
"8245606952","42999200-7","LUCIDATRICI PER PAVIMENTI PER USO NON DOMESTICO","MACCHINE LAVASCIUGA PER PAVIMENTI"
"825723343B","79625000-1","SERVIZI DI FORNITURA DI PERSONALE MEDICO","PROCEDURA NEGOZIATA TELEMATICA EX ART. 36 C.2 L.B D. LGS 50/2016, PER LA FORNITURA DI BATTERIE PER DIVERSI DEFIBRILLATORI PHILIPS MEDICAL SYSTEMS E HEWLETT PACKARD IN USO PRESSO L"
"824112684F","33170000-2","ANESTESIA E RIANIMAZIONE","PROCEDURA NEGOZIATA TELEMATICA PER L'AFFIDAMENTO DELLA FORNITURA TRIENNALE DI VIDEO BRONCOSCOPI FLESSIBILI MONOUSO PORTATILI PER LA NECESSITÀ DELLA S.C. DI ANESTESIA, RIANIMAZIONE E TERAPIA DEL DOLORE DELLO STABILIMENTO SS.ANNUNZIATA DELLA ASL DI TARANTO"
"82454898C5","33690000-3","MEDICINALI VARI","PROCEDURA PONTE PER L'AFFIDAMENTO DELLA FORNITURA IN REGIME DI SOMMINISTRAZIONE DEL PRINCIPIO ATTIVO IDROXICLOROCHINA 30CPR 200MG"
"82475659F0","98341140-8","SERVIZI DI VIGILANZA DI EDIFICI","SERVIZIO DI VIGILANZA ARMATA 24/24H PRESSO DEA DEL P.O. 'V. FAZZI' PER LA DURATA DI 9 MESI"
"8251803341","33170000-2","ANESTESIA E RIANIMAZIONE","FORNITURA DI N. 20 VENTILATORI INVASIVI DA TERAPIA INTENSIVA COMPRENSIVI DI ASSISTENZA TECNICA TRIENNALE FULL-RISK DA DESTINARE AL P.O.C. STABILIMENTO"
"8201718FCA","34121000-1","AUTOBUS E PULLMAN","FORNITURA N.1 AUTOBUS NUOVO PER TRASPORTO PUBBLICO LOCALE CLASSE I, ALIMENTATO A GASOLIO, EURO 6 O SUPERIORE -SMART GO CITY - POR PUGLIA 2014-2020 ASSE IV 'ENERGIA SOSTENIBILE E QUALITÀ DELLA VITA'- AZIONE 4.4 'INTERVENTI PER L'AUMENTO DELLA MOBILITÀ SOSTENIBILE NELLE AREE URBANE E SUB URBANE' "
"815003881D","45215400-1","CIMITERO","REALIZZAZIONE DI N. 2 LOTTI LOCULI CIMITERIALI"
